name,code,alias,level,status,latitude,longitude,parent_name,parent_code
Владимирская область,17,vladimirskaia-oblast,1,TRUE,55.904195,40.898894,,
Московская область,46,moskovskaia-oblast,1,TRUE,55.815792,37.380031,,
Республика Татарстан (Татарстан),92,respublika-tatarstan-tatarstan,1,TRUE,55.779013,49.110753,,
Москва,45,moskva,1,TRUE,55.753215,37.622504,,
Новосибирская область,50,novosibirskaia-oblast,1,TRUE,55.582396,79.264861,,
Чувашская Республика - Чувашия,97,chuvashskaia-respublika-chuvashiia,1,TRUE,55.492023,47.086875,,
Курганская область,37,kurganskaia-oblast,1,FALSE,55.448347,64.809405,,
Смоленская область,66,smolenskaia-oblast,1,FALSE,54.956192,32.998543,,
Кемеровская область,32,kemerovskaia-oblast,1,FALSE,54.779047,87.207361,,
Калининградская область,27,kaliningradskaia-oblast,1,FALSE,54.754365,21.22993,,
Республика Бурятия,81,respublika-buriatiia,1,FALSE,54.544222,112.348699,,
Челябинская область,75,cheliabinskaia-oblast,1,FALSE,54.446199,60.395641,,
Калужская область,29,kaluzhskaia-oblast,1,FALSE,54.3718,35.445185,,
Рязанская область,61,riazanskaia-oblast,1,TRUE,54.333363,40.62524,,
Республика Башкортостан,80,respublika-bashkortostan,1,TRUE,54.2715,56.525537,,
Республика Мордовия,89,respublika-mordoviia,1,FALSE,54.205758,44.319669,,
Ульяновская область,73,ulianovskaia-oblast,1,FALSE,53.891057,47.606533,,
Тульская область,70,tulskaia-oblast,1,FALSE,53.888064,37.575693,,
Амурская область,10,amurskaia-oblast,1,FALSE,53.413341,127.728064,,
Республика Хакасия,95,respublika-khakasiia,1,FALSE,53.386357,89.897078,,
Самарская область,36,samarskaia-oblast,1,TRUE,53.27635,50.463301,,
Пензенская область,56,penzenskaia-oblast,1,TRUE,53.1824,44.634151,,
Брянская область,15,brianskaia-oblast,1,FALSE,52.909192,33.422197,,
Забайкальский край,76,zabaikalskii-krai,1,FALSE,52.847258,116.200424,,
Орловская область,54,orlovskaia-oblast,1,FALSE,52.781455,36.481042,,
Оренбургская область,53,orenburgskaia-oblast,1,FALSE,52.743528,53.498682,,
Тамбовская область,68,tambovskaia-oblast,1,FALSE,52.680864,41.587183,,
Липецкая область,42,lipetskaia-oblast,1,FALSE,52.644554,39.149784,,
Алтайский край,1,altaiskii-krai,1,TRUE,52.129671,82.530013,,
Хабаровский край,8,khabarovskii-krai,1,FALSE,51.695886,136.637034,,
Курская область,38,kurskaia-oblast,1,TRUE,51.680369,36.104872,,
Республика Тыва,93,respublika-tyva,1,FALSE,51.584332,94.793085,,
